zcta,year,merge_key,number_of_households,household_median_income_1yr,household_mean_income_1yr,number_of_rent_home,median_rent,number_of_owned_home,median_home_value,population_25_and_over,less_than_9th_grade,9th_to_12th_grade,high_school_graduate,some_college_no_degree,associates_degree,bachelors_degree,graduate_or_professional_degree,total_population,pct_children_teens_5-19,pct_young_adults_20-34,pct_middle_aged_35-59,pct_older_adults_60+,housing_units,pct_1_person,pct_2_person,pct_3_person,pct_4_or_more_person
10031,2023,2023_10031,21991,65067,95724,18466,1787,3008,678000,47341,11.085528400329524,10.358885532624996,17.72670623772206,16.11922012631757,3.869795737310154,24.452377431824424,16.38748653387127,60305,12.017245667855068,16.38670093690407,40.94022054556007,24.951496559157615,21991,35.08253376381247,28.779955436314857,15.651857578100131,20.485653221772544
10032,2023,2023_10032,21359,56588,83374,19373,1546,1780,545500,42647,15.87450465448918,8.242080333903909,17.335334255633455,14.317536989706191,4.452833728046522,23.964170985063426,15.813539053157314,55579,11.806617607369688,19.85462134979039,36.05858327785674,26.313895536083777,21359,40.66669787911419,25.314855564399082,18.690013577414675,15.328432979072055
10033,2023,2023_10033,19747,75585,125737,16296,1742,3035,709100,39698,13.849564209783868,8.79641291752733,15.328228122323544,13.950324953398155,6.808907249735503,21.988513275227973,19.278049272003628,53611,13.064483035198002,17.765010911939715,38.154483221726885,24.42409207065714,19747,33.83805134957208,29.04238618524333,16.802552286423253,20.31701017876133
10034,2023,2023_10034,15462,69786,96915,13571,1621,1547,518000,29329,11.711957448259405,8.029595281121074,18.81755259299669,16.990009887824336,5.237137304374509,21.398615704592725,17.81513178083126,39037,14.127622511975817,13.753618362066758,39.43438276506904,25.32469195891078,15462,38.17099987065063,29.769758116673135,13.788643125080844,18.270598887595398
10035,2023,2023_10035,15056,40556,74154,13463,1283,1484,663500,27782,11.9069901374991,12.050968252825571,26.884313584335175,13.166798646605717,5.312792455546757,18.41480095025556,12.263335972932117,39082,16.631697456629652,15.876874264367228,36.592293127270864,23.089913515173226,15056,45.91524973432519,27.225026567481404,11.00557917109458,15.854144527098832
10036,2023,2023_10036,18886,100225,153956,16986,2301,1673,988000,25778,2.9560089999224144,3.7085887190627664,9.632244549615953,9.496469858018465,4.89952672821786,41.09705950810768,28.21010163705485,30589,5.8027395468959435,20.464872993559776,44.761188662591124,25.214946549413188,18886,61.304670126019275,29.09562638991846,6.825161495287515,2.7745419887747538
10037,2023,2023_10037,10205,51250,88255,9245,1406,912,-666666666,14375,7.151304347826088,6.810434782608696,23.902608695652177,13.523478260869563,5.43304347826087,25.718260869565217,17.46086956521739,18333,13.358424698630886,11.465663012054765,39.786177930507826,27.982326951399113,10205,59.480646741793244,26.369426751592357,7.300342969132778,6.849583537481626
10038,2023,2023_10038,10694,115121,168823,7593,3140,3040,865700,16805,9.991074085093722,7.235941684022612,9.866111276405832,7.259744123772687,4.07021719726272,38.16126152930676,23.415650104135675,23342,16.318224659412216,21.60054836774912,32.56790335018422,21.626253105989203,10694,44.16495230970638,33.36450345988405,11.959977557508882,10.510566672900692
10039,2023,2023_10039,12427,48792,72337,10522,1211,1841,478200,21944,10.754648195406489,7.792562887349617,26.558512577469923,19.94166970470288,7.783448778709443,17.52643091505651,9.64272694130514,30512,17.11785527005768,14.125589931830099,37.67697954902989,23.92829050865233,12427,36.75867063651726,32.73517341273035,15.265148467047556,15.241007483704836
10040,2023,2023_10040,16260,64022,91539,13329,1680,2511,465700,32180,12.697327532628965,10.155376009944064,20.845245494095717,13.570540708514606,4.453076444996892,21.062771908017403,17.215661901802363,41581,12.998725379380005,13.631225800245304,37.52915995286308,29.81890767417811,16260,37.44772447724477,29.11439114391144,18.62238622386224,14.81549815498155
10044,2023,2023_10044,5146,106146,172339,4052,3305,1072,1041300,9119,3.728478999890339,2.44544357933984,11.185436999671015,7.4021274262528785,3.267902182256827,27.85393135212194,44.116679460467154,11998,12.143690615102516,12.377062843807302,39.456576096016,24.97916319386565,5146,40.225417800233195,27.477652545666537,18.441507967353285,13.855421686746988
10065,2023,2023_10065,16706,160938,267101,10971,2828,5542,1368200,24999,1.2400496019840794,0.5320212808512341,4.928197127885115,5.992239689587583,1.360054402176087,41.417656706268254,44.52978119124765,31047,10.658034592714273,11.41173060199053,38.721937707346925,28.482623119786133,16706,50.42499700706333,30.58781276188196,9.25416018197055,9.733030049084162
10069,2023,2023_10069,3202,226151,343678,2231,3501,935,2000001,4958,0.0,0.0,7.503025413473175,0.645421540943929,0.8067769261799113,36.76885841064946,54.27591770875353,6669,13.690208427050532,7.317438896386264,47.38341580446844,19.523166891587945,3202,44.8469706433479,26.420986883198,21.111805121798877,7.6202373516552155
10075,2023,2023_10075,12536,146556,292128,6570,2390,5732,1097800,18743,0.6082270714400042,1.6112682067972044,5.6447740489782845,5.111241530171264,2.1874833271087875,36.178840100304114,48.65816571520034,23865,11.468677980305888,16.936936936936938,32.31929604022627,32.465954326419435,12536,50.35098915124442,28.39023611997447,8.543395022335673,12.715379706445438
10103,2023,2023_10103,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10110,2023,2023_10110,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10111,2023,2023_10111,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10112,2023,2023_10112,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10115,2023,2023_10115,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10119,2023,2023_10119,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10128,2023,2023_10128,30154,148705,243787,19775,2648,9725,1295600,47586,1.840877569032909,2.372546547303829,7.468583196738536,5.8672718866893625,4.988862270415669,34.55217921237338,42.90967931744631,59000,10.050847457627118,14.128813559322033,36.052542372881355,31.95084745762712,30154,46.431650858924186,31.54142070703721,12.2637129402401,9.763215493798501
10152,2023,2023_10152,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10153,2023,2023_10153,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10154,2023,2023_10154,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10162,2023,2023_10162,883,110349,138519,814,3501,0,-666666666,1349,0.0,1.853224610822832,28.39140103780578,1.3343217197924389,3.9288361749444034,30.911786508524838,33.58042994810971,1769,7.235726399095533,2.6003391746749576,25.83380440927077,48.841153193894854,883,46.206115515288786,34.54133635334088,2.1517553793884483,17.10079275198188
10165,2023,2023_10165,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10167,2023,2023_10167,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10168,2023,2023_10168,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10169,2023,2023_10169,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10170,2023,2023_10170,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10171,2023,2023_10171,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10172,2023,2023_10172,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10173,2023,2023_10173,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10174,2023,2023_10174,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
