,ttl_acai_shop,ttl_afghani_restaurant,ttl_african_restaurant,ttl_american_restaurant,ttl_amusement_center,ttl_art_gallery,ttl_asian_grocery_store,ttl_asian_restaurant,ttl_athletic_field,ttl_auditorium,ttl_bagel_shop,ttl_bakery,ttl_banquet_hall,ttl_bar,ttl_bar_and_grill,ttl_barbecue_area,ttl_barbecue_restaurant,ttl_body_art_service,ttl_book_store,ttl_bowling_alley,ttl_brazilian_restaurant,ttl_breakfast_restaurant,ttl_brunch_restaurant,ttl_buffet_restaurant,ttl_cafe,ttl_cafeteria,ttl_candy_store,ttl_cat_cafe,ttl_catering_service,ttl_chinese_restaurant,ttl_chocolate_shop,ttl_clothing_store,ttl_coffee_shop,ttl_comedy_club,ttl_concert_hall,ttl_confectionery,ttl_consultant,ttl_convenience_store,ttl_dance_hall,ttl_deli,ttl_dessert_restaurant,ttl_dessert_shop,ttl_diner,ttl_dog_cafe,ttl_donut_shop,ttl_event_venue,ttl_extended_stay_hotel,ttl_farm,ttl_fast_food_restaurant,ttl_fine_dining_restaurant,ttl_fitness_center,ttl_florist,ttl_food_court,ttl_food_delivery,ttl_food_store,ttl_french_restaurant,ttl_garden,ttl_gift_shop,ttl_greek_restaurant,ttl_grocery_store,ttl_gym,ttl_hamburger_restaurant,ttl_health,ttl_historical_landmark,ttl_historical_place,ttl_home_goods_store,ttl_hospital,ttl_hotel,ttl_ice_cream_shop,ttl_indian_restaurant,ttl_indonesian_restaurant,ttl_insurance_agency,ttl_internet_cafe,ttl_italian_restaurant,ttl_japanese_restaurant,ttl_juice_shop,ttl_karaoke,ttl_korean_restaurant,ttl_lawyer,ttl_lebanese_restaurant,ttl_library,ttl_liquor_store,ttl_lodging,ttl_market,ttl_meal_delivery,ttl_meal_takeaway,ttl_mediterranean_restaurant,ttl_mexican_restaurant,ttl_middle_eastern_restaurant,ttl_movie_theater,ttl_museum,ttl_night_club,ttl_park,ttl_parking,ttl_performing_arts_theater,ttl_pizza_restaurant,ttl_place_of_worship,ttl_pub,ttl_ramen_restaurant,ttl_resort_hotel,ttl_sandwich_shop,ttl_seafood_restaurant,ttl_spa,ttl_spanish_restaurant,ttl_sporting_goods_store,ttl_sports_activity_location,ttl_sports_club,ttl_sports_complex,ttl_steak_house,ttl_store,ttl_supermarket,ttl_sushi_restaurant,ttl_tea_house,ttl_thai_restaurant,ttl_tourist_attraction,ttl_turkish_restaurant,ttl_vegan_restaurant,ttl_vegetarian_restaurant,ttl_veterinary_care,ttl_video_arcade,ttl_vietnamese_restaurant,ttl_wedding_venue,ttl_wellness_center,ttl_wholesaler,ttl_wine_bar,ttl_yoga_studio,EXPENSIVE,INEXPENSIVE,MODERATE,rent,rent_change,yr,is_gentrified
10012,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,32.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,16.0,3.0,0.0,17.0,0.0,0.0,0.0,1.0,1.0,17.0,1.0,0.0,0.0,13.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,8.0,36.0,7.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,21.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,4.0,7.0,4.0,0.0,0.0,0.0,9.0,5.0,0.0,1.0,10.0,0.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0,6.0,4.0,0.0,1.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,24.0,31.0,82.0,3886.183980134929,0.2460232322848459,2022,True
10013,0.0,0.0,0.0,18.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,18.0,1.0,55.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,25.0,0.0,0.0,0.0,3.0,34.0,0.0,1.0,16.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,6.0,4.0,0.0,0.0,8.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,10.0,36.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,40.0,9.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,11.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,0.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,36.0,0.0,7.0,7.0,6.0,0.0,0.0,5.0,7.0,0.0,0.0,5.0,1.0,0.0,1.0,13.0,0.0,27.0,64.0,94.0,5250.064349495008,0.2551989468106335,2022,True
10014,0.0,0.0,0.0,24.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,9.0,0.0,54.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,21.0,0.0,25.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,18.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,1.0,5.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,9.0,24.0,7.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,19.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,11.0,3.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,2.0,3.0,0.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,2.0,1.0,1.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,19.0,27.0,77.0,4640.923860803133,0.29932604641339133,2022,True
10016,0.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,6.0,0.0,34.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,15.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,14.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,10.0,2.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,11.0,5.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,8.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,2.0,1.0,4.0,0.0,2.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,10.0,24.0,70.0,4170.625172206032,0.19872577373272438,2022,False
10017,0.0,0.0,0.0,18.0,0.0,0.0,1.0,6.0,0.0,0.0,4.0,9.0,1.0,22.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,3.0,1.0,12.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,8.0,25.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,11.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,4.0,2.0,0.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,26.0,1.0,7.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,18.0,23.0,47.0,3881.776679425909,0.2145727020074848,2022,False
10018,0.0,0.0,0.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,9.0,0.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,13.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,12.0,23.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,10.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,11.0,0.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,7.0,2.0,3.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,8.0,26.0,58.0,4471.069767764633,0.18321564289816816,2022,False
10019,0.0,1.0,0.0,35.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,12.0,0.0,56.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,10.0,0.0,18.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0,14.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,3.0,5.0,0.0,0.0,10.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,23.0,25.0,7.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,32.0,14.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,19.0,8.0,8.0,5.0,0.0,1.0,7.0,0.0,0.0,2.0,20.0,0.0,9.0,3.0,0.0,10.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,27.0,0.0,6.0,4.0,6.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,11.0,0.0,38.0,34.0,104.0,4060.865967084667,0.16523599226733965,2022,False
10021,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,2.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,9.0,39.0,3435.443153695123,0.2394190645355101,2022,True
10022,1.0,0.0,0.0,31.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,6.0,0.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,15.0,0.0,19.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,3.0,6.0,13.0,0.0,0.0,7.0,1.0,0.0,14.0,3.0,0.0,0.0,0.0,28.0,22.0,2.0,0.0,0.0,7.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,14.0,19.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,20.0,8.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,7.0,5.0,1.0,12.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,23.0,0.0,11.0,1.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,31.0,31.0,71.0,4140.342992889406,0.18863929558505932,2022,False
10023,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,9.0,24.0,3980.2461913513275,0.18899148794829457,2022,False
